aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
H6N,maceracion,Grupo 2 - H15,2,1.0,44.0,72.0,17.435595774162696,False,MACERACIÓN,76
H6N,maceracion,Grupo 2 - H15,3,1.0,50.0,100.0,,False,MACERACIÓN,77
H8N,maceracion,Grupo 3 - H24,1,1.0,40.0,100.0,92.7927927927928,False,MACERACIÓN,78
H8N,maceracion,Grupo 3 - H24,2,1.0,44.0,100.0,12.483249063559468,False,MACERACIÓN,79
H8N,maceracion,Grupo 3 - H24,3,1.0,50.0,78.37837837837837,,False,MACERACIÓN,80
H9N,maceracion,Grupo 2 - H16,1,1.0,,100.0,100.0,False,MACERACIÓN,81
H9N,maceracion,Grupo 2 - H16,2,1.0,,100.0,0.0,False,MACERACIÓN,82
H9N,maceracion,Grupo 2 - H16,3,1.0,,100.0,,False,MACERACIÓN,83
FU1,maceracion,Grupo 2 - H17,1,1.0,,100.0,100.0,False,MACERACIÓN,84
FU1,maceracion,Grupo 2 - H17,2,1.0,,100.0,0.0,False,MACERACIÓN,85
FU1,maceracion,Grupo 2 - H17,3,1.0,,100.0,,False,MACERACIÓN,86
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,1.0,36.0,100.0,100.0,False,MACERACIÓN,87
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,1.0,36.0,100.0,0.0,False,MACERACIÓN,88
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,1.0,38.0,100.0,,False,MACERACIÓN,89
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,1.0,,82.3529411764706,78.43137254901961,False,MACERACIÓN,90
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,1.0,,70.58823529411765,6.792356108113244,False,MACERACIÓN,91
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,1.0,,82.3529411764706,,False,MACERACIÓN,92
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,1.0,56.0,100.0,91.1111111111111,False,MACERACIÓN,93
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,1.0,42.0,100.0,15.396007178390121,False,MACERACIÓN,94
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,1.0,40.0,73.33333333333333,,False,MACERACIÓN,95
HC3,maceracion,Grupo 3 - H19,1,0.2,50.0,100.0,100.0,False,MACERACIÓN,3
HC3,maceracion,Grupo 3 - H19,2,0.2,48.0,100.0,0.0,False,MACERACIÓN,4
HC3,maceracion,Grupo 3 - H19,3,0.2,44.0,100.0,,False,MACERACIÓN,5
HC5,maceracion,Grupo 1 - H1,1,0.2,54.0,60.869565217391305,65.21739130434783,False,MACERACIÓN,6
HC5,maceracion,Grupo 1 - H1,2,0.2,50.0,73.91304347826087,7.530655685082078,False,MACERACIÓN,7
HC5,maceracion,Grupo 1 - H1,3,0.2,54.0,60.869565217391305,,False,MACERACIÓN,8
HC6,maceracion,Grupo 4 - H28,1,0.2,50.0,70.37037037037037,67.90123456790123,False,MACERACIÓN,9
HC6,maceracion,Grupo 4 - H28,2,0.2,50.0,77.77777777777777,11.315001715940358,False,MACERACIÓN,10
HC6,maceracion,Grupo 4 - H28,3,0.2,50.0,55.55555555555556,,False,MACERACIÓN,11
HC9,maceracion,Grupo 4 - H20,1,0.2,,100.0,100.0,False,MACERACIÓN,12
HC9,maceracion,Grupo 4 - H20,2,0.2,,100.0,0.0,False,MACERACIÓN,13
HC9,maceracion,Grupo 4 - H20,3,0.2,,100.0,,False,MACERACIÓN,14
HC10,maceracion,Grupo 1 - H2,1,0.2,54.0,80.0,75.55555555555556,False,MACERACIÓN,15
HC10,maceracion,Grupo 1 - H2,2,0.2,46.0,76.66666666666667,5.091750772173156,False,MACERACIÓN,16
HC10,maceracion,Grupo 1 - H2,3,0.2,50.0,70.0,,False,MACERACIÓN,17
HC15,maceracion,Grupo 1 - H3,1,0.2,54.0,100.0,100.0,False,MACERACIÓN,18
HC15,maceracion,Grupo 1 - H3,2,0.2,60.0,100.0,0.0,False,MACERACIÓN,19
HC15,maceracion,Grupo 1 - H3,3,0.2,50.0,100.0,,False,MACERACIÓN,20
HC16,maceracion,Grupo 1 - H4,1,0.2,60.0,100.0,80.45977011494253,False,MACERACIÓN,21
